prompt_base,provider,control_change_type,count
direct_schema,anthropic,correct_abstention_in_both,9
direct_schema,anthropic,false_positive_in_both,47
direct_schema,anthropic,v2_fixed_v1_false_positive,142
direct_schema,google,correct_abstention_in_both,58
direct_schema,google,false_positive_in_both,76
direct_schema,google,v2_fixed_v1_false_positive,63
direct_schema,google,v2_introduced_new_false_positive,1
direct_schema,openai,correct_abstention_in_both,181
direct_schema,openai,false_positive_in_both,4
direct_schema,openai,v2_fixed_v1_false_positive,13
structured_roles,anthropic,correct_abstention_in_both,127
structured_roles,anthropic,false_positive_in_both,37
structured_roles,anthropic,v2_fixed_v1_false_positive,16
structured_roles,anthropic,v2_introduced_new_false_positive,18
structured_roles,google,correct_abstention_in_both,86
structured_roles,google,false_positive_in_both,61
structured_roles,google,v2_fixed_v1_false_positive,43
structured_roles,google,v2_introduced_new_false_positive,8
structured_roles,openai,correct_abstention_in_both,191
structured_roles,openai,false_positive_in_both,3
structured_roles,openai,v2_fixed_v1_false_positive,2
structured_roles,openai,v2_introduced_new_false_positive,2
