n,schema_present_correct_v1,schema_present_correct_v2,schema_present_correct_delta,primary_schema_correct_v1,primary_schema_correct_v2,primary_schema_correct_delta,lm_correct_v1,lm_correct_v2,lm_correct_delta,control_correct_v1,control_correct_v2,control_correct_delta,control_false_positive_schema_v1,control_false_positive_schema_v2,control_false_positive_schema_delta,prompt_base,provider,sentence_type
3600,0.8575,0.9275,0.06999999999999995,0.7613888888888889,0.8511111111111112,0.08972222222222226,0.8563888888888889,0.9258333333333333,0.06944444444444442,0.18916666666666668,0.2586111111111111,0.06944444444444445,0.14083333333333334,0.07138888888888889,-0.06944444444444445,,,
1800,0.8083333333333333,0.9272222222222222,0.11888888888888882,0.7194444444444444,0.8594444444444445,0.14,0.8077777777777778,0.9272222222222222,0.11944444444444435,0.13833333333333334,0.2588888888888889,0.12055555555555555,0.19166666666666668,0.07111111111111111,-0.12055555555555557,direct_schema,,
1800,0.9066666666666666,0.9277777777777778,0.02111111111111119,0.8033333333333333,0.8427777777777777,0.03944444444444439,0.905,0.9244444444444444,0.019444444444444375,0.24,0.25833333333333336,0.018333333333333368,0.09,0.07166666666666667,-0.018333333333333326,structured_roles,,
1200,0.7983333333333333,0.915,0.1166666666666667,0.7083333333333334,0.8358333333333333,0.12749999999999995,0.7983333333333333,0.9125,0.11416666666666664,0.12833333333333333,0.245,0.11666666666666667,0.20166666666666666,0.085,-0.11666666666666665,,anthropic,
1200,0.7975,0.8783333333333333,0.08083333333333331,0.7166666666666667,0.8066666666666666,0.08999999999999997,0.7975,0.8783333333333333,0.08083333333333331,0.1275,0.20833333333333334,0.08083333333333334,0.2025,0.12166666666666667,-0.08083333333333334,,google,
1200,0.9766666666666667,0.9891666666666666,0.012499999999999956,0.8591666666666666,0.9108333333333334,0.05166666666666675,0.9733333333333334,0.9866666666666667,0.013333333333333308,0.31166666666666665,0.3225,0.010833333333333361,0.018333333333333333,0.0075,-0.010833333333333334,,openai,
600,0.685,0.9216666666666666,0.23666666666666658,0.61,0.8583333333333333,0.2483333333333333,0.685,0.9216666666666666,0.23666666666666658,0.015,0.25166666666666665,0.23666666666666664,0.315,0.07833333333333334,-0.23666666666666666,direct_schema,anthropic,
600,0.9116666666666666,0.9083333333333333,-0.0033333333333332993,0.8066666666666666,0.8133333333333334,0.00666666666666671,0.9116666666666666,0.9033333333333333,-0.008333333333333304,0.24166666666666667,0.23833333333333334,-0.003333333333333327,0.08833333333333333,0.09166666666666666,0.003333333333333327,structured_roles,anthropic,
600,0.7683333333333333,0.8716666666666667,0.10333333333333339,0.705,0.8116666666666666,0.10666666666666669,0.7683333333333333,0.8716666666666667,0.10333333333333339,0.09833333333333333,0.20166666666666666,0.10333333333333333,0.23166666666666666,0.12833333333333333,-0.10333333333333333,direct_schema,google,
600,0.8266666666666667,0.885,0.05833333333333335,0.7283333333333334,0.8016666666666666,0.07333333333333325,0.8266666666666667,0.885,0.05833333333333335,0.15666666666666668,0.215,0.05833333333333332,0.17333333333333334,0.115,-0.058333333333333334,structured_roles,google,
