expected_schema_primary,prompt_generation,primary_schema_accuracy,lm_accuracy,control_false_positive_schema_rate
BLOCKAGE,v1,0.9595959595959596,0.98989898989899,
BLOCKAGE,v2_abstention,0.9823232323232324,0.9848484848484849,
CONTAINER,v1,0.8454106280193237,1.0,
CONTAINER,v2_abstention,0.8768115942028986,1.0,
FORCE,v1,0.8484848484848485,1.0,
FORCE,v2_abstention,0.8813131313131313,1.0,
NONE,v1,0.5732323232323232,0.5732323232323232,0.42676767676767674
NONE,v2_abstention,0.7836700336700336,0.7836700336700336,0.21632996632996632
SOURCE_PATH_GOAL,v1,0.9951690821256038,1.0,
SOURCE_PATH_GOAL,v2_abstention,0.9830917874396136,0.9903381642512077,
SUPPORT_BALANCE,v1,0.8181818181818182,0.9848484848484849,
SUPPORT_BALANCE,v2_abstention,0.8838383838383839,1.0,
VERTICALITY,v1,0.6515151515151515,1.0,
VERTICALITY,v2_abstention,0.6944444444444444,1.0,
