provider,model_id,prompt_id,control_accuracy,control_false_positive_schema_rate,non_control_over_abstention_rate,primary_schema_accuracy
anthropic,claude_sonnet_4_6,p_direct_schema_v1,0.045454545454545456,0.9545454545454546,0.0,0.61
anthropic,claude_sonnet_4_6,p_direct_schema_v2_abstention,0.7626262626262627,0.23737373737373738,0.0,0.8583333333333333
anthropic,claude_sonnet_4_6,p_structured_roles_v1,0.7323232323232324,0.2676767676767677,0.0,0.8066666666666666
anthropic,claude_sonnet_4_6,p_structured_roles_v2_abstention,0.7222222222222222,0.2777777777777778,0.0,0.8133333333333334
google,gemini_2_5_flash,p_direct_schema_v1,0.29797979797979796,0.702020202020202,0.0,0.705
google,gemini_2_5_flash,p_direct_schema_v2_abstention,0.6111111111111112,0.3888888888888889,0.0,0.8116666666666666
google,gemini_2_5_flash,p_structured_roles_v1,0.47474747474747475,0.5252525252525253,0.0,0.7283333333333334
google,gemini_2_5_flash,p_structured_roles_v2_abstention,0.6515151515151515,0.3484848484848485,0.0,0.8016666666666666
openai,openai_gpt_5_4_mini,p_direct_schema_v1,0.9141414141414141,0.08585858585858586,0.0,0.8433333333333334
openai,openai_gpt_5_4_mini,p_direct_schema_v2_abstention,0.9797979797979798,0.020202020202020204,0.007462686567164179,0.9083333333333333
openai,openai_gpt_5_4_mini,p_structured_roles_v1,0.9747474747474747,0.025252525252525252,0.014925373134328358,0.875
openai,openai_gpt_5_4_mini,p_structured_roles_v2_abstention,0.9747474747474747,0.025252525252525252,0.0024875621890547263,0.9133333333333333
