provider,prompt_id,main_image_schema,count
anthropic,p_direct_schema_v1,SOURCE_PATH_GOAL,86
anthropic,p_direct_schema_v1,CONTAINER,70
anthropic,p_direct_schema_v1,FORCE,27
anthropic,p_direct_schema_v1,BLOCKAGE,3
anthropic,p_direct_schema_v1,VERTICALITY,3
anthropic,p_direct_schema_v2_abstention,CONTAINER,26
anthropic,p_direct_schema_v2_abstention,FORCE,8
anthropic,p_direct_schema_v2_abstention,SOURCE_PATH_GOAL,7
anthropic,p_direct_schema_v2_abstention,BLOCKAGE,3
anthropic,p_direct_schema_v2_abstention,VERTICALITY,3
anthropic,p_structured_roles_v1,SOURCE_PATH_GOAL,22
anthropic,p_structured_roles_v1,CONTAINER,18
anthropic,p_structured_roles_v1,FORCE,7
anthropic,p_structured_roles_v1,BLOCKAGE,3
anthropic,p_structured_roles_v1,VERTICALITY,3
anthropic,p_structured_roles_v2_abstention,CONTAINER,21
anthropic,p_structured_roles_v2_abstention,FORCE,15
anthropic,p_structured_roles_v2_abstention,SOURCE_PATH_GOAL,11
anthropic,p_structured_roles_v2_abstention,VERTICALITY,5
anthropic,p_structured_roles_v2_abstention,BLOCKAGE,3
google,p_direct_schema_v1,CONTAINER,80
google,p_direct_schema_v1,SOURCE_PATH_GOAL,41
google,p_direct_schema_v1,FORCE,8
google,p_direct_schema_v1,VERTICALITY,5
google,p_direct_schema_v1,BLOCKAGE,3
google,p_direct_schema_v1,SUPPORT_BALANCE,2
google,p_direct_schema_v2_abstention,CONTAINER,38
google,p_direct_schema_v2_abstention,FORCE,18
google,p_direct_schema_v2_abstention,SOURCE_PATH_GOAL,13
google,p_direct_schema_v2_abstention,VERTICALITY,5
google,p_direct_schema_v2_abstention,BLOCKAGE,3
google,p_structured_roles_v1,CONTAINER,35
google,p_structured_roles_v1,SOURCE_PATH_GOAL,34
google,p_structured_roles_v1,FORCE,28
google,p_structured_roles_v1,BLOCKAGE,4
google,p_structured_roles_v1,VERTICALITY,3
google,p_structured_roles_v2_abstention,CONTAINER,32
google,p_structured_roles_v2_abstention,FORCE,20
google,p_structured_roles_v2_abstention,SOURCE_PATH_GOAL,13
google,p_structured_roles_v2_abstention,BLOCKAGE,3
google,p_structured_roles_v2_abstention,VERTICALITY,1
openai,p_direct_schema_v1,CONTAINER,7
openai,p_direct_schema_v1,SOURCE_PATH_GOAL,7
openai,p_direct_schema_v1,FORCE,3
openai,p_direct_schema_v2_abstention,CONTAINER,4
openai,p_structured_roles_v1,CONTAINER,5
openai,p_structured_roles_v2_abstention,CONTAINER,3
openai,p_structured_roles_v2_abstention,SOURCE_PATH_GOAL,2
