prompt_id,main_image_schema,count
p_direct_schema_v1,CONTAINER,157
p_direct_schema_v1,SOURCE_PATH_GOAL,134
p_direct_schema_v1,FORCE,38
p_direct_schema_v1,VERTICALITY,8
p_direct_schema_v1,BLOCKAGE,6
p_direct_schema_v1,SUPPORT_BALANCE,2
p_direct_schema_v2_abstention,CONTAINER,68
p_direct_schema_v2_abstention,FORCE,26
p_direct_schema_v2_abstention,SOURCE_PATH_GOAL,20
p_direct_schema_v2_abstention,VERTICALITY,8
p_direct_schema_v2_abstention,BLOCKAGE,6
p_structured_roles_v1,CONTAINER,58
p_structured_roles_v1,SOURCE_PATH_GOAL,56
p_structured_roles_v1,FORCE,35
p_structured_roles_v1,BLOCKAGE,7
p_structured_roles_v1,VERTICALITY,6
p_structured_roles_v2_abstention,CONTAINER,56
p_structured_roles_v2_abstention,FORCE,35
p_structured_roles_v2_abstention,SOURCE_PATH_GOAL,26
p_structured_roles_v2_abstention,BLOCKAGE,6
p_structured_roles_v2_abstention,VERTICALITY,6
