prompt_base,provider,control_change_type,count
direct_schema,anthropic,control_correct_both,9
direct_schema,anthropic,control_false_positive_both,47
direct_schema,anthropic,non_control,402
direct_schema,anthropic,v2_fixed_control_false_positive,142
direct_schema,google,control_correct_both,58
direct_schema,google,control_false_positive_both,76
direct_schema,google,non_control,402
direct_schema,google,v2_fixed_control_false_positive,63
direct_schema,google,v2_introduced_control_false_positive,1
direct_schema,openai,control_correct_both,181
direct_schema,openai,control_false_positive_both,4
direct_schema,openai,non_control,402
direct_schema,openai,v2_fixed_control_false_positive,13
structured_roles,anthropic,control_correct_both,127
structured_roles,anthropic,control_false_positive_both,37
structured_roles,anthropic,non_control,402
structured_roles,anthropic,v2_fixed_control_false_positive,16
structured_roles,anthropic,v2_introduced_control_false_positive,18
structured_roles,google,control_correct_both,86
structured_roles,google,control_false_positive_both,61
structured_roles,google,non_control,402
structured_roles,google,v2_fixed_control_false_positive,43
structured_roles,google,v2_introduced_control_false_positive,8
structured_roles,openai,control_correct_both,191
structured_roles,openai,control_false_positive_both,3
structured_roles,openai,non_control,402
structured_roles,openai,v2_fixed_control_false_positive,2
structured_roles,openai,v2_introduced_control_false_positive,2
