provider,model_id,n,none_prediction_rate_all,control_correct_rate,control_false_positive_rate,non_control_over_abstention_rate,non_control_lm_accuracy,non_control_primary_schema_accuracy,schema_present_accuracy,prompt_id,prompt_generation,prompt_base
anthropic,claude_sonnet_4_6,2400,0.18666666666666668,0.5656565656565656,0.43434343434343436,0.0,0.9981343283582089,0.8737562189054726,0.8566666666666667,,,
google,gemini_2_5_flash,2400,0.16791666666666666,0.5088383838383839,0.4911616161616162,0.0,1.0,0.8861940298507462,0.8379166666666666,,,
openai,openai_gpt_5_4_mini,2400,0.32125,0.9608585858585859,0.039141414141414144,0.006218905472636816,0.9894278606965174,0.847636815920398,0.9829166666666667,,,
anthropic,claude_sonnet_4_6,600,0.015,0.045454545454545456,0.9545454545454546,0.0,1.0,0.8880597014925373,0.685,p_direct_schema_v1,,
anthropic,claude_sonnet_4_6,600,0.25166666666666665,0.7626262626262627,0.23737373737373738,0.0,1.0,0.9054726368159204,0.9216666666666666,p_direct_schema_v2_abstention,,
anthropic,claude_sonnet_4_6,600,0.24166666666666667,0.7323232323232324,0.2676767676767677,0.0,1.0,0.8432835820895522,0.9116666666666666,p_structured_roles_v1,,
anthropic,claude_sonnet_4_6,600,0.23833333333333334,0.7222222222222222,0.2777777777777778,0.0,0.9925373134328358,0.8582089552238806,0.9083333333333333,p_structured_roles_v2_abstention,,
google,gemini_2_5_flash,600,0.09833333333333333,0.29797979797979796,0.702020202020202,0.0,1.0,0.9054726368159204,0.7683333333333333,p_direct_schema_v1,,
google,gemini_2_5_flash,600,0.20166666666666666,0.6111111111111112,0.3888888888888889,0.0,1.0,0.9104477611940298,0.8716666666666667,p_direct_schema_v2_abstention,,
google,gemini_2_5_flash,600,0.15666666666666668,0.47474747474747475,0.5252525252525253,0.0,1.0,0.8532338308457711,0.8266666666666667,p_structured_roles_v1,,
google,gemini_2_5_flash,600,0.215,0.6515151515151515,0.3484848484848485,0.0,1.0,0.8756218905472637,0.885,p_structured_roles_v2_abstention,,
openai,openai_gpt_5_4_mini,600,0.3016666666666667,0.9141414141414141,0.08585858585858586,0.0,0.9975124378109452,0.8084577114427861,0.9716666666666667,p_direct_schema_v1,,
openai,openai_gpt_5_4_mini,600,0.3283333333333333,0.9797979797979798,0.020202020202020204,0.007462686567164179,0.9925373134328358,0.8731343283582089,0.9883333333333333,p_direct_schema_v2_abstention,,
openai,openai_gpt_5_4_mini,600,0.33166666666666667,0.9747474747474747,0.025252525252525252,0.014925373134328358,0.9776119402985075,0.8258706467661692,0.9816666666666667,p_structured_roles_v1,,
openai,openai_gpt_5_4_mini,600,0.3233333333333333,0.9747474747474747,0.025252525252525252,0.0024875621890547263,0.9900497512437811,0.8830845771144279,0.99,p_structured_roles_v2_abstention,,
