prompt_id,provider,main_image_schema,count
p_direct_schema_v1,anthropic,SOURCE_PATH_GOAL,21
p_direct_schema_v1,anthropic,SUPPORT_BALANCE,3
p_direct_schema_v1,google,SOURCE_PATH_GOAL,15
p_direct_schema_v1,google,SUPPORT_BALANCE,3
p_direct_schema_v1,google,CONTAINER,1
p_direct_schema_v1,openai,SOURCE_PATH_GOAL,17
p_direct_schema_v1,openai,SUPPORT_BALANCE,3
p_direct_schema_v2_abstention,anthropic,SOURCE_PATH_GOAL,14
p_direct_schema_v2_abstention,anthropic,SUPPORT_BALANCE,3
p_direct_schema_v2_abstention,google,SOURCE_PATH_GOAL,14
p_direct_schema_v2_abstention,google,SUPPORT_BALANCE,3
p_direct_schema_v2_abstention,openai,SOURCE_PATH_GOAL,15
p_direct_schema_v2_abstention,openai,SUPPORT_BALANCE,3
p_structured_roles_v1,anthropic,SOURCE_PATH_GOAL,25
p_structured_roles_v1,anthropic,SUPPORT_BALANCE,3
p_structured_roles_v1,google,SOURCE_PATH_GOAL,21
p_structured_roles_v1,google,SUPPORT_BALANCE,3
p_structured_roles_v1,google,FORCE,2
p_structured_roles_v1,openai,SOURCE_PATH_GOAL,18
p_structured_roles_v1,openai,SUPPORT_BALANCE,3
p_structured_roles_v2_abstention,anthropic,SOURCE_PATH_GOAL,21
p_structured_roles_v2_abstention,anthropic,SUPPORT_BALANCE,3
p_structured_roles_v2_abstention,google,SOURCE_PATH_GOAL,20
p_structured_roles_v2_abstention,google,SUPPORT_BALANCE,3
p_structured_roles_v2_abstention,google,FORCE,1
p_structured_roles_v2_abstention,openai,SOURCE_PATH_GOAL,18
p_structured_roles_v2_abstention,openai,SUPPORT_BALANCE,3
